#         tranbounds      trancounts        reflbounds        relfcounts
        0.0063290152        0.1342999731        0.0063290152        1.1770997646
        0.0189872456        0.0000000000        0.0189872456        0.0000000000
        0.0316454759        0.0000000000        0.0316454759        0.0000000000
        0.0443037063        0.0000000000        0.0443037063        0.0000000000
        0.0569619367        0.0000000000        0.0569619367        0.0000000000
        0.0696201671        0.0000000000        0.0696201671        0.0000000000
        0.0822783975        0.0000000000        0.0822783975        0.0000000000
        0.0949366278        0.9084998183        0.0949366278        6.4937987012
        0.1075948582        0.0000000000        0.1075948582        0.0000000000
        0.1202530886        0.0000000000        0.1202530886        0.0000000000
        0.1329113190        0.0000000000        0.1329113190        0.0000000000
        0.1455695494        0.0000000000        0.1455695494        0.0000000000
        0.1582277797        0.0000000000        0.1582277797        0.0000000000
        0.1708860101        0.0000000000        0.1708860101        0.0000000000
        0.1835442405        0.0000000000        0.1835442405        0.0000000000
        0.1962024709        3.9973992005        0.1962024709       14.7650970470
        0.2088607013        0.0000000000        0.2088607013        0.0000000000
        0.2215189316        0.0000000000        0.2215189316        0.0000000000
        0.2341771620        0.0000000000        0.2341771620        0.0000000000
        0.2468353924        0.0000000000        0.2468353924        0.0000000000
        0.2594936228        0.0000000000        0.2594936228        0.0000000000
        0.2721518532        0.0000000000        0.2721518532        0.0000000000
        0.2848100835        0.0000000000        0.2848100835        0.0000000000
        0.2974683139        9.3219981356        0.2974683139       19.6946960611
        0.3101265443        0.0000000000        0.3101265443        0.0000000000
        0.3227847747        0.0000000000        0.3227847747        0.0000000000
        0.3354430051        0.0000000000        0.3354430051        0.0000000000
        0.3481012354        0.0000000000        0.3481012354        0.0000000000
        0.3607594658        0.0000000000        0.3607594658        0.0000000000
        0.3734176962        0.0000000000        0.3734176962        0.0000000000
        0.3860759266        0.0000000000        0.3860759266        0.0000000000
        0.3987341570       15.1758969648        0.3987341570       18.1936963613
        0.4113923873        0.0000000000        0.4113923873        0.0000000000
        0.4240506177        0.0000000000        0.4240506177        0.0000000000
        0.4367088481        0.0000000000        0.4367088481        0.0000000000
        0.4493670785        0.0000000000        0.4493670785        0.0000000000
        0.4620253089        0.0000000000        0.4620253089        0.0000000000
        0.4746835392        0.0000000000        0.4746835392        0.0000000000
        0.4873417696        0.0000000000        0.4873417696        0.0000000000
        0.5000000000       18.1304963739        0.5000000000       11.2495977501
        0.5126582304        0.0000000000        0.5126582304        0.0000000000
        0.5253164608        0.0000000000        0.5253164608        0.0000000000
        0.5379746911        0.0000000000        0.5379746911        0.0000000000
        0.5506329215        0.0000000000        0.5506329215        0.0000000000
        0.5632911519        0.0000000000        0.5632911519        0.0000000000
        0.5759493823        0.0000000000        0.5759493823        0.0000000000
        0.5886076127        0.0000000000        0.5886076127        0.0000000000
        0.6012658430       15.5155968969        0.6012658430        5.4746989051
        0.6139240734        0.0000000000        0.6139240734        0.0000000000
        0.6265823038        0.0000000000        0.6265823038        0.0000000000
        0.6392405342        0.0000000000        0.6392405342        0.0000000000
        0.6518987646        0.0000000000        0.6518987646        0.0000000000
        0.6645569949        0.0000000000        0.6645569949        0.0000000000
        0.6772152253        0.0000000000        0.6772152253        0.0000000000
        0.6898734557        0.0000000000        0.6898734557        0.0000000000
        0.7025316861       10.0961979808        0.7025316861        1.5957996808
        0.7151899165        0.0000000000        0.7151899165        0.0000000000
        0.7278481468        0.0000000000        0.7278481468        0.0000000000
        0.7405063772        0.0000000000        0.7405063772        0.0000000000
        0.7531646076        0.0000000000        0.7531646076        0.0000000000
        0.7658228380        0.0000000000        0.7658228380        0.0000000000
        0.7784810684        0.0000000000        0.7784810684        0.0000000000
        0.7911392987        0.0000000000        0.7911392987        0.0000000000
        0.8037975291        4.7004990599        0.8037975291        0.3001999400
        0.8164557595        0.0000000000        0.8164557595        0.0000000000
        0.8291139899        0.0000000000        0.8291139899        0.0000000000
        0.8417722203        0.0000000000        0.8417722203        0.0000000000
        0.8544304506        0.0000000000        0.8544304506        0.0000000000
        0.8670886810        0.0000000000        0.8670886810        0.0000000000
        0.8797469114        0.0000000000        0.8797469114        0.0000000000
        0.8924051418        0.0000000000        0.8924051418        0.0000000000
        0.9050633722        0.8926998215        0.9050633722        0.0394999921
        0.9177216025        0.0000000000        0.9177216025        0.0000000000
        0.9303798329        0.0000000000        0.9303798329        0.0000000000
        0.9430380633        0.0000000000        0.9430380633        0.0000000000
        0.9556962937        0.0000000000        0.9556962937        0.0000000000
        0.9683545241        0.0000000000        0.9683545241        0.0000000000
        0.9810127544        0.0000000000        0.9810127544        0.0000000000
        0.9936709848        0.1263999747        0.9936709848        0.0157999968
        1.0063292152        0.0000000000        1.0063292152        0.0000000000
